qid,mode,config,lambda,num_segments,coverage,precision,selected_texts,gold_answer
multistep_7_p1,MULTI_STEP,fixed_default,0.05,3,0.3333333333333333,0.3333333333333333,"[NODE: multistep_7_program_a] type=row | Year: 2006 | Agency: Capital Markets Regulation Division | Program: Disaster Relief | Priority Outlays: $8,707. ||| [NODE: lookup_6_record] type=row | Year: 2005 | Agency: Infrastructure Finance Office | Program: Strategic Infrastructure Bonds | Allocations: $5,822 | The reported allocations for Strategic Infrastructure Bonds under Infrastructure Finance Office in 2005 were $5,822. ||| [NODE: compute_17_year_a] type=row | Year: 2016 | Agency: Congressional Appropriations Liaison | Program: Border Security Allocations | Administrative costs: $11,887.","$17,746"
multistep_7_p1,MULTI_STEP,fixed_best,0.1,1,0.3333333333333333,1.0,"[NODE: multistep_7_program_a] type=row | Year: 2006 | Agency: Capital Markets Regulation Division | Program: Disaster Relief | Priority Outlays: $8,707.","$17,746"
multistep_7_p1,MULTI_STEP,learned,0.03721618350368087,3,0.3333333333333333,0.3333333333333333,"[NODE: multistep_7_program_a] type=row | Year: 2006 | Agency: Capital Markets Regulation Division | Program: Disaster Relief | Priority Outlays: $8,707. ||| [NODE: lookup_6_record] type=row | Year: 2005 | Agency: Infrastructure Finance Office | Program: Strategic Infrastructure Bonds | Allocations: $5,822 | The reported allocations for Strategic Infrastructure Bonds under Infrastructure Finance Office in 2005 were $5,822. ||| [NODE: compute_17_year_a] type=row | Year: 2016 | Agency: Congressional Appropriations Liaison | Program: Border Security Allocations | Administrative costs: $11,887.","$17,746"
multistep_7_p1,MULTI_STEP,oracle,0.1,1,0.3333333333333333,1.0,"[NODE: multistep_7_program_a] type=row | Year: 2006 | Agency: Capital Markets Regulation Division | Program: Disaster Relief | Priority Outlays: $8,707.","$17,746"
multidoc_2_p3,MULTI_DOC,fixed_default,0.05,2,0.0,0.0,"[NODE: lookup_2_record] type=row | Year: 2001 | Agency: Revenue Analysis Bureau | Program: Agency Payroll | Receipts: $5,274 | The reported receipts for Agency Payroll under Revenue Analysis Bureau in 2001 were $5,274. ||| [NODE: lookup_5_distractor] type=note | Year: 2003 | Agency: Budget Review Unit | Category: Administrative Overhead | Internal reference only. Do not use for budget reporting.",Revenue Analysis Bureau
multidoc_2_p3,MULTI_DOC,fixed_best,0.1,1,0.0,0.0,"[NODE: lookup_2_record] type=row | Year: 2001 | Agency: Revenue Analysis Bureau | Program: Agency Payroll | Receipts: $5,274 | The reported receipts for Agency Payroll under Revenue Analysis Bureau in 2001 were $5,274.",Revenue Analysis Bureau
multidoc_2_p3,MULTI_DOC,learned,0.03804362507311201,2,0.0,0.0,"[NODE: lookup_2_record] type=row | Year: 2001 | Agency: Revenue Analysis Bureau | Program: Agency Payroll | Receipts: $5,274 | The reported receipts for Agency Payroll under Revenue Analysis Bureau in 2001 were $5,274. ||| [NODE: lookup_5_distractor] type=note | Year: 2003 | Agency: Budget Review Unit | Category: Administrative Overhead | Internal reference only. Do not use for budget reporting.",Revenue Analysis Bureau
multidoc_2_p3,MULTI_DOC,oracle,0.001,5,0.5,0.2,"[NODE: lookup_2_record] type=row | Year: 2001 | Agency: Revenue Analysis Bureau | Program: Agency Payroll | Receipts: $5,274 | The reported receipts for Agency Payroll under Revenue Analysis Bureau in 2001 were $5,274. ||| [NODE: lookup_5_distractor] type=note | Year: 2003 | Agency: Budget Review Unit | Category: Administrative Overhead | Internal reference only. Do not use for budget reporting. ||| [NODE: lookup_15_record] type=row | Year: 2014 | Agency: Debt Issuance and Settlement Bureau | Program: Treasury Securities | Payments: $7,055 | The reported payments for Treasury Securities under Debt Issuance and Settlement Bureau in 2014 were $7,055. ||| [NODE: multidoc_2_doc_b] type=row | Source: Bulletin B | Year: 2001 | Agency: Budget Review Unit | Program: Tax Refund Processing | Expenditures: $6,666. ||| [NODE: multistep_24_program_b] type=row | Year: 2023 | Agency: Cash Management Office | Program: Agency Payroll | Priority Outlays: $10,348.",Revenue Analysis Bureau
lookup_24_p5,LOOKUP,fixed_default,0.05,1,1.0,1.0,"[NODE: lookup_24_record] type=row | Year: 2023 | Agency: Macroeconomic Policy Analysis Unit | Program: Space Program Appropriations | Net borrowing: $8,288 | The reported net borrowing for Space Program Appropriations under Macroeconomic Policy Analysis Unit in 2023 were $8,288.","$8,288"
lookup_24_p5,LOOKUP,fixed_best,0.1,1,1.0,1.0,"[NODE: lookup_24_record] type=row | Year: 2023 | Agency: Macroeconomic Policy Analysis Unit | Program: Space Program Appropriations | Net borrowing: $8,288 | The reported net borrowing for Space Program Appropriations under Macroeconomic Policy Analysis Unit in 2023 were $8,288.","$8,288"
